Year,Period,labor force,employment,unemployment,unemployment rate
2009,Dec,1100003,990305,109698,10
2010,Jan,1087931,967266,120665,11.1
2010,Feb,1091500,971571,119929,11
2010,Mar,1097860,980776,117084,10.7
2010,Apr,1104869,995403,109466,9.9
2010,May,1104084,998474,105610,9.6
2010,Jun,1106182,997201,108981,9.9
2010,Jul,1101743,992960,108783,9.9
2010,Aug,1103805,997334,106471,9.6
2010,Sep,1090144,987579,102565,9.4
2010,Oct,1091328,990407,100921,9.2
2010,Nov,1089676,987180,102496,9.4
2010,Dec,1082308,983724,98584,9.1
2011,Jan,1074637,967911,106726,9.9
2011,Feb,1075724,972391,103333,9.6
2011,Mar,1081161,982701,98460,9.1
2011,Apr,1084561,992434,92127,8.5
2011,May,1089372,994557,94815,8.7
2011,Jun,1094791,991495,103296,9.4
2011,Jul,1098845,996437,102408,9.3
2011,Aug,1099652,1000606,99046,9
2011,Sep,1089064,993774,95290,8.7
2011,Oct,1088500,997568,90932,8.4
2011,Nov,1079215,994906,84309,7.8
2011,Dec,1075586,991812,83774,7.8
2012,Jan,1061813,971687,90126,8.5
2012,Feb,1067339,979628,87711,8.2
2012,Mar,1071165,987899,83266,7.8
2012,Apr,1070115,995436,74679,7
2012,May,1079223,1003394,75829,7
2012,Jun,1089135,1006187,82948,7.6
2012,Jul,1088758,1004377,84381,7.8
2012,Aug,1083822,1004263,79559,7.3
2012,Sep,1076293,1002943,73350,6.8
2012,Oct,1083866,1009466,74400,6.9
2012,Nov,1072536,999699,72837,6.8
2012,Dec,1070827,993710,77117,7.2
2013,Jan,1066465,975602,90863,8.5
2013,Feb,1069204,984169,85035,8
2013,Mar,1070559,990819,79740,7.4
2013,Apr,1078394,1005790,72604,6.7
2013,May,1088250,1011394,76856,7.1
2013,Jun,1097788,1012549,85239,7.8
2013,Jul,1093798,1012020,81778,7.5
2013,Aug,1092627,1013832,78795,7.2
2013,Sep,1086438,1010239,76199,7
2013,Oct,1084266,1007854,76412,7
2013,Nov,1078070,1007601,70469,6.5
2013,Dec,1065047,1000475,64572,6.1
2014,Jan,1059992,986591,73401,6.9
2014,Feb,1065644,994142,71502,6.7
2014,Mar,1073845,1008720,65125,6.1
2014,Apr,1071339,1018127,53212,5
2014,May,1081553,1025264,56289,5.2
2014,Jun,1087883,1027301,60582,5.6
2014,Jul,1093091,1030613,62478,5.7
2014,Aug,1089268,1031584,57684,5.3
2014,Sep,1077890,1025345,52545,4.9
