fire,serv,trade,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
64.4,308.9,259.8,0,0,0,0,0,0,0,0,0,0,1
64.8,308.4,265,0,0,0,0,0,0,0,0,0,0,0
63.6,298.8,254.6,1,0,0,0,0,0,0,0,0,0,0
63.8,301,251.7,0,1,0,0,0,0,0,0,0,0,0
63.7,304,253.2,0,0,1,0,0,0,0,0,0,0,0
64.5,307.3,251.9,0,0,0,1,0,0,0,0,0,0,0
64.6,309.4,254.2,0,0,0,0,1,0,0,0,0,0,0
65.1,314.8,255.8,0,0,0,0,0,1,0,0,0,0,0
65.2,315.9,255.4,0,0,0,0,0,0,1,0,0,0,0
65.2,314.5,255.9,0,0,0,0,0,0,0,1,0,0,0
65,313.4,254.4,0,0,0,0,0,0,0,0,1,0,0
64.8,312.2,255.2,0,0,0,0,0,0,0,0,0,1,0
64.8,310.7,257.9,0,0,0,0,0,0,0,0,0,0,1
65,310.1,258.8,0,0,0,0,0,0,0,0,0,0,0
64.1,300.2,249.7,1,0,0,0,0,0,0,0,0,0,0
64.3,302.2,247.8,0,1,0,0,0,0,0,0,0,0,0
