month,rsales,totpersinc,emplnonfarm,CPI,unempl,mortgrate,conscredit,govspend,houshfinasset
3-Aug,278221,9414.7,129822,184.5,8896,5.97,74271.12239,2024564.286,32684723.2
3-Sep,276954,9463.7,129925,185.1,8921,5.67,73008.00003,2033806.811,32996792.29
3-Oct,275112,9521.5,130128,184.9,8732,5.67,68955.86952,2042922.331,33685967.24
3-Nov,278953,9590.3,130146,185,8576,5.63,63753.84259,2051943.686,34525835.34
3-Dec,278196,9623.1,130270,185.5,8317,5.57,59035.99998,2060901.644,35283223.5
4-Jan,279627,9642.6,130420,186.3,8370,5.42,56514.45992,2069974.607,35714003.25
4-Feb,281370,9674.1,130463,186.7,8167,5.36,55806.25948,2078755.099,35909066.55
4-Mar,286871,9722.7,130801,187.1,8491,5.17,55982.99998,2087566.738,36066143.31
4-Apr,283526,9780.5,131051,187.4,8170,5.67,56345.05041,2096587.413,36286964.26
4-May,288754,9862,131361,188.2,8212,6.1,56493.24948,2105703.188,36511908.03
4-Jun,284935,9898.8,131442,188.9,8286,6.05,56098,2114944.488,36605868.8
4-Jul,288069,9946.4,131489,189.1,8136,5.78,55021.35818,2124345.085,36519068.62
4-Aug,288520,10012,131610,189.2,7990,5.56,54035.79494,2134101.988,36465868.76
4-Sep,293811,10038.8,131770,189.8,7927,5.49,54104.00001,2143947.016,36719717.9
4-Oct,295462,10099.6,132121,190.8,8061,5.5,55779.56215,2154085.179,37462863.38
4-Nov,296742,10116.4,132185,191.7,7932,5.46,57924.56985,2164560.027,38369144.94
4-Dec,300163,10453.1,132317,191.7,7934,5.53,59210.99994,2175422.513,39097434.12
5-Jan,298629,10207.9,132453,191.6,7784,5.44,58533.64523,2186905.486,39332108.04
5-Feb,300795,10239.9,132693,192.4,7980,5.42,56946.03795,2198288.66,39297701.36
5-Mar,300954,10267.9,132835,193.1,7737,5.75,55350.00005,2210172.007,39303831.5
5-Apr,305618,10330.6,133195,193.7,7672,5.7,54902.46795,2223014.523,39589863.17
5-May,302532,10383.7,133364,193.6,7651,5.53,55318.25969,2236478.613,40094494.77
5-Jun,310510,10445.9,133610,193.7,7524,5.4,56016.00002,2250604.259,40626079.89
5-Jul,314665,10521.2,133979,194.9,7406,5.57,56598.62284,2265437.901,41087000.26
5-Aug,310065,10577.9,134174,196.1,7345,5.69,57128.29692,2281172.372,41454329.07
